"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"183","Murray St.","Murray State","#002144","#ECAC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Murray_State_Racers_logo.svg/227px-Murray_State_Racers_logo.svg.png",NA,"MVC"
"184","N.C. A&T","NC A&T","#004684","#FDB927",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/North_Carolina_A%26T_Aggies_logo.svg/198px-North_Carolina_A%26T_Aggies_logo.svg.png",NA,"CAA"
"185","N.C. Central","NC Central","#862633","#898D8D",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/1/13/NCCU_Eagles_head_mark_logo.svg",NA,"MEAC"
"186","Navy","Navy","#00205B","#C5B783",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Navy_Athletics_logo.svg/195px-Navy_Athletics_logo.svg.png",NA,"Patriot"
"187","NC State","NC State","#CC0000","#000000","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/202px-North_Carolina_State_University_Athletic_logo.svg.png",NA,"ACC"
"188","Nebraska","Nebraska","#E41C38","#5F6A72","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Nebraska_Cornhuskers_logo.svg/240px-Nebraska_Cornhuskers_logo.svg.png",NA,"Big 10"
"189","Nevada","Nevada","#003366","#807F84",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/320px-Nevada_Wolf_Pack_logo.svg.png",NA,"MWC"
"190","New Hampshire","UNH","#041E42","#BBBCBC",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/62/New_Hampshire_Wildcats_logo.svg/284px-New_Hampshire_Wildcats_logo.svg.png",NA,"Am. East"
"191","New Mexico","New Mexico","#BA0C2F","#A7A8AA","#63666A","#007A86","#000000",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/45/New_Mexico_Lobos_logo.svg/195px-New_Mexico_Lobos_logo.svg.png",NA,"MWC"
"192","New Mexico St.","New Mexico St","#861F41","#97999B","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/New_Mexico_State_Aggies_logo.svg/320px-New_Mexico_State_Aggies_logo.svg.png",NA,"WAC"
"193","New Orleans","New Orleans","#005CA6","#A3A9AD",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/27/New_Orleans_Privateers_logo.svg/278px-New_Orleans_Privateers_logo.svg.png",NA,"Southland"
"194","Niagara","Niagara","#582C83","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Niagara_Purple_Eagles.svg/320px-Niagara_Purple_Eagles.svg.png",NA,"MAAC"
"195","Nicholls","Nicholls","#C41230","#B2B2B2",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Nicholls_State_Colonels_logo.svg/320px-Nicholls_State_Colonels_logo.svg.png",NA,"Southland"
"196","NJIT","NJIT","#D22630","#071D49","#C1C6C8",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/30/NJIT_Highlanders_logo.svg/274px-NJIT_Highlanders_logo.svg.png",NA,"Am. East"
"197","Norfolk St.","Norfolk State","#007A53","#F2A900",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Norfork_State_Spartans_logo.svg/240px-Norfork_State_Spartans_logo.svg.png",NA,"MEAC"
"198","North Ala.","North Alabama","#46166B","#DB9F11","#5F6062",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/North_Alabama_Lions_logo.svg/320px-North_Alabama_Lions_logo.svg.png",NA,"A-Sun"
"199","North Carolina","UNC","#7BAFD4","#FFFFFF","#13294B","#000000","#8D9092","#A2AAAD","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/304px-North_Carolina_Tar_Heels_logo.svg.png",NA,"ACC"
"200","North Dakota","North Dakota","#009A44","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/92/North_Dakota_Fighting_Hawks_logo.svg/320px-North_Dakota_Fighting_Hawks_logo.svg.png",NA,"Summit"
"201","North Dakota St.","North Dakota St","#0A5640","#FFC72A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/74/North_Dakota_State_Bison_logo.svg/320px-North_Dakota_State_Bison_logo.svg.png",NA,"Summit"
"202","North Florida","North Florida","#00246B","#D9D9D9",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/North_Florida_Ospreys_logo.svg/320px-North_Florida_Ospreys_logo.svg.png",NA,"A-Sun"
"203","North Texas","North Texas","#00853E","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/215px-North_Texas_Mean_Green_logo.svg.png",NA,"C-USA"
"204","Northeastern","Northeastern","#E50000","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Northeastern_Huskies_primary_logo.svg/245px-Northeastern_Huskies_primary_logo.svg.png",NA,"CAA"
"205","Northern Ariz.","N Arizona","#FFD200","#FBB040",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Northern_Arizona_Athletics_logo.svg/320px-Northern_Arizona_Athletics_logo.svg.png",NA,"Big Sky"
"206","Northern Colo.","N Colorado","#F6B000","#F6B000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Northern_Colorado_Bears_logo.svg/239px-Northern_Colorado_Bears_logo.svg.png",NA,"Big Sky"
"207","NIU","N Illinois","#BA0C2F","#8A8D8F","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Northern_Illinois_Huskies_logo.svg/246px-Northern_Illinois_Huskies_logo.svg.png",NA,"MAC"
"208","Northern Ky.","N Kentucky","#FFC72C","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Northern_Kentucky_Norse_logo.svg/320px-Northern_Kentucky_Norse_logo.svg.png",NA,"Horizon"
"209","Northwestern","Northwestern","#4E2A84","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/156px-Northwestern_Wildcats_logo.svg.png",NA,"Big 10"
"210","Northwestern St.","Northwestern St","#492F92","#F78426",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Northwestern_State_Demons_wordmark.svg/320px-Northwestern_State_Demons_wordmark.svg.png",NA,"Southland"
"211","Notre Dame","Notre Dame","#0C2340","#C99700","#AE9142","#00843D",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/267px-Notre_Dame_Fighting_Irish_logo.svg.png",NA,"ACC"
"212","Oakland","Oakland","#B59A57","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Oakland_Golden_Grizzlies_logo.svg/303px-Oakland_Golden_Grizzlies_logo.svg.png",NA,"Horizon"
"213","Ohio","Ohio","#00694E","#CDA077",NA,NA,NA,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/195.png&h=300&w=300",NA,"MAC"
"214","Ohio St.","Ohio State","#BB0000","#666666",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/244px-Ohio_State_Buckeyes_logo.svg.png",NA,"Big 10"
"215","Oklahoma","Oklahoma","#841617","#FDF9D8",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/186px-Oklahoma_Sooners_logo.svg.png",NA,"Big 12"
"216","Oklahoma St.","Oklahoma State","#FF7300","#000000","#FF9900","#BEBEBE",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/320px-Oklahoma_State_University_system_logo.svg.png",NA,"Big 12"
"217","Old Dominion","Old Dominion","#003057","#92C1E9",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Old_Dominion_Athletics_logo.svg/284px-Old_Dominion_Athletics_logo.svg.png",NA,"Sunbelt"
"218","Ole Miss","Ole Miss","#CE1126","#14213D","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/320px-Ole_Miss_Rebels_logo.svg.png",NA,"SEC"
"219","Omaha","Omaha","#000000","#D71920","#636568",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Omaha_Mavericks_logo.svg/246px-Omaha_Mavericks_logo.svg.png",NA,"Summit"
"220","Oral Roberts","Oral Roberts","#002F60","#C5B783","#A28E2A",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Oral_Roberts_Golden_Eagles_logo.svg/320px-Oral_Roberts_Golden_Eagles_logo.svg.png",NA,"Summit"
"221","Oregon","Oregon","#154733","#FEE123",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Oregon_Ducks_logo.svg/290px-Oregon_Ducks_logo.svg.png",NA,"Pac 12"
"222","Oregon St.","Oregon State","#DC4405","#000000","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Oregon_State_Beavers_logo.svg/320px-Oregon_State_Beavers_logo.svg.png",NA,"Pac 12"
"223","Pacific","Pacific","#E35205","#231F20","#D86018","#949A90",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Pacific_Tigers_logo.svg/320px-Pacific_Tigers_logo.svg.png",NA,"WCC"
"224","Penn","Penn","#990000","#011F5B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Penn_Quakers_logo.svg/197px-Penn_Quakers_logo.svg.png",NA,"Ivy"
"225","Penn St.","Penn State","#093162","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/320px-Penn_State_Nittany_Lions_logo.svg.png",NA,"Big 10"
"226","Pepperdine","Pepperdine","#00205C","#EE7624",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pepperdine_Waves_logo.svg/226px-Pepperdine_Waves_logo.svg.png",NA,"WCC"
"227","Pittsburgh","Pitt","#1C2957","#CDB87D",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/320px-Pitt_Panthers_wordmark.svg.png",NA,"ACC"
"228","Portland","Portland","#1E1656","#5E6A71",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Portland_Pilots_logo.svg/213px-Portland_Pilots_logo.svg.png",NA,"WCC"
"229","Portland St.","Portland State","#154734","#FFFFFF","#373A36","#2C2A29",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Portland_State_Vikings_logo.svg/186px-Portland_State_Vikings_logo.svg.png",NA,"Big Sky"
"230","Prairie View","PV A&M","#330066","#FFCC33",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Prairie_View_A%26M_Panthers_logo.svg/320px-Prairie_View_A%26M_Panthers_logo.svg.png",NA,"SWAC"
"231","Presbyterian","Presbyterian","#0060A9","#9D2235",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Presbyterian_College_logo.svg/237px-Presbyterian_College_logo.svg.png",NA,"Big South"
"232","Princeton","Princeton","#FF671F","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Princeton_Tigers_logo.svg/210px-Princeton_Tigers_logo.svg.png",NA,"Ivy"
"233","Providence","Providence","#000000","#8A8D8F","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif",NA,"Big East"
"234","Purdue","Purdue","#CEB888","#000000","#9D968D","#373A36",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/320px-Purdue_Boilermakers_logo.svg.png",NA,"Big 10"
"235","Purdue Fort Wayne","Fort Wayne","#002F6C","#000000","#63666A","#97999B","#BBBCBC",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Purdue_Fort_Wayne_Mastodons_logo.svg/202px-Purdue_Fort_Wayne_Mastodons_logo.svg.png",NA,"Horizon"
"236","Quinnipiac","Quinnipiac","#0A2240","#FFB819",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/2/2c/Quinnipiac_Bobcats_logo.svg",NA,"MAAC"
"237","Radford","Radford","#C2011B","#808285",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Radford_Highlanders_logo.svg/284px-Radford_Highlanders_logo.svg.png",NA,"Big South"
"238","Rhode Island","URI","#68ABE8","#002147",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rhode_Island_Rams_logo.svg/187px-Rhode_Island_Rams_logo.svg.png",NA,"A-10"
"239","Rice","Rice","#00205B","#C1C6C8",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Rice_Owls_logo.svg/200px-Rice_Owls_logo.svg.png",NA,"C-USA"
"240","Richmond","Richmond","#000066","#990000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Richmond_Spiders_logo.svg/175px-Richmond_Spiders_logo.svg.png",NA,"A-10"
"241","Rider","Rider","#981E32","#6C6F70",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Rider_Broncs.svg/320px-Rider_Broncs.svg.png",NA,"MAAC"
"242","Robert Morris","Robert Morris","#14234B","#A6192E",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Robert_Morris_Colonials_logo.svg/208px-Robert_Morris_Colonials_logo.svg.png",NA,"Horizon"
"243","Rutgers","Rutgers","#CC0033","#5F6A72","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/270px-Rutgers_Scarlet_Knights_logo.svg.png",NA,"Big 10"
"244","Sacramento St.","Sacramento St","#043927","#C4B581",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/6/61/Sacramento_State_Hornets_logo.svg",NA,"Big Sky"
"245","Sacred Heart","Sacred Heart","#CD1041","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sacred_Heart_Pioneers_logo.svg/320px-Sacred_Heart_Pioneers_logo.svg.png",NA,"NEC"
"246","Saint Francis (PA)","St Francis (PA)","#BD1F25","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint_Francis_Red_Flash_logo.svg/320px-Saint_Francis_Red_Flash_logo.svg.png",NA,"NEC"
"247","Saint Joseph's","Saint Joe's","#9E1B32","#6C6F70",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Saint_Joseph%27s_Hawks_logo.svg/320px-Saint_Joseph%27s_Hawks_logo.svg.png",NA,"A-10"
"248","Saint Louis","Saint Louis","#003DA5","#C8C9C7",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Saint_Louis_Billikens_logo.svg/249px-Saint_Louis_Billikens_logo.svg.png",NA,"A-10"
"249","Saint Mary's (CA)","Saint Mary's","#D80024","#06315B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Saint_Mary%27s_College_Gaels_logo.svg/300px-Saint_Mary%27s_College_Gaels_logo.svg.png",NA,"WCC"
"250","Saint Peter's","St Peter's","#003C71","#0072CE","#A59C94","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/9/97/Saint_Peter%27s_Peacocks_logo.svg",NA,"MAAC"
"251","Sam Houston","Sam Houston","#F78E1E","#004990",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/d/de/SHSU_athletics_logo.svg",NA,"WAC"
"252","Samford","Samford","#C4161D","#002649",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/320px-Samford_Bulldogs_logo.svg.png",NA,"Southern"
"253","San Diego","San Diego","#002868","#84BCE8","#207BC1",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/7/7e/San_Diego_Toreros_logo.svg",NA,"WCC"
"254","San Diego St.","San Diego State","#A6192E","#000000","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/San_Diego_State_Aztecs_logo.svg/320px-San_Diego_State_Aztecs_logo.svg.png",NA,"MWC"
"255","San Francisco","San Francisco","#FDBB30","#00543C","#919194",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/San_Francisco_Dons_logo.svg/200px-San_Francisco_Dons_logo.svg.png",NA,"WCC"
"256","San Jose St.","San Jose State","#0055A2","#E5A823","#939597",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/San_Jose_State_Spartans_logo.svg/233px-San_Jose_State_Spartans_logo.svg.png",NA,"MWC"
"257","Santa Clara","Santa Clara","#862633","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Santa_Clara_Broncos_logo.svg/185px-Santa_Clara_Broncos_logo.svg.png",NA,"WCC"
"258","Seattle U","Seattle","#AA0000","#333333",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Seattle_Redhawks_logo.svg/214px-Seattle_Redhawks_logo.svg.png",NA,"WAC"
"259","Seton Hall","Seton Hall","#004488","#A2AAAD",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Seton_Hall_Pirates_logo.svg/236px-Seton_Hall_Pirates_logo.svg.png",NA,"Big East"
"260","SFA","SF Austin","#3F2A55","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Stephen_F._Austin_Athletics_wordmark.svg/240px-Stephen_F._Austin_Athletics_wordmark.svg.png",NA,"WAC"
"261","Siena","Siena","#FFC72C","#C8102E","#006747","#693F23",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/d/d0/Siena_Saints_wordmark.png",NA,"MAAC"
"262","SIUE","SIUE","#CC0000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/SIUE_Cougars_logo.svg/400px-SIUE_Cougars_logo.svg.png",NA,"OVC"
"263","SMU","SMU","#CC0035","#354CA1",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/320px-SMU_Mustang_logo.svg.png",NA,"AAC"
"264","South Alabama","South Alabama","#00205B","#BF0D3E",NA,NA,NA,NA,"https://giving.usajaguars.com/image/USA-00001_PrimaryMaster2c.png",NA,"Sunbelt"
"265","South Carolina","South Carolina","#73000A","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/South_Carolina_Gamecocks_logo.svg/219px-South_Carolina_Gamecocks_logo.svg.png",NA,"SEC"
"266","South Carolina St.","S Carolina St","#841A2B","#1E4692",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/South_Carolina_State_Bulldogs_logo.svg/197px-South_Carolina_State_Bulldogs_logo.svg.png",NA,"MEAC"
"267","South Dakota","South Dakota","#AD0000","#B4B4B4","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/South_Dakota_Coyotes_logo.svg/189px-South_Dakota_Coyotes_logo.svg.png",NA,"Summit"
"268","South Dakota St.","South Dakota St","#0033A0","#FFD100",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/25/South_Dakota_State_Jackrabbits_logo.svg/315px-South_Dakota_State_Jackrabbits_logo.svg.png",NA,"Summit"
"269","South Fla.","USF","#006747","#CFC493",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/South_Florida_Bulls_logo.svg/300px-South_Florida_Bulls_logo.svg.png",NA,"AAC"
"270","Southeast Mo. St.","SE Missouri St","#C8102E","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/38/SEMO_Red_Wordmark.png",NA,"OVC"
"271","Southeastern La.","SE Louisiana","#006341","#EAAA00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Southeastern_Louisiana_Lions_script.svg/175px-Southeastern_Louisiana_Lions_script.svg.png",NA,"Southland"
"272","Southern California","USC","#FFC72C","#990000","#FFC72C",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/161px-USC_Trojans_logo.svg.png",NA,"Pac 12"
"273","Southern Ill.","S Illinois","#720000","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Southern_Illinois_Salukis_logo.svg/320px-Southern_Illinois_Salukis_logo.svg.png",NA,"MVC"
"274","Southern Miss.","Southern Miss","#000000","#FFAB00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Southern_Miss_Athletics_logo.svg/320px-Southern_Miss_Athletics_logo.svg.png",NA,"Sunbelt"
"275","Southern U.","Southern","#69B3E7","#FFC72C",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Southern_Jaguars_logo.svg/273px-Southern_Jaguars_logo.svg.png",NA,"SWAC"
"276","Southern Utah","Southern Utah","#000000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Southern_Utah_Thunderbirds_logo.svg/320px-Southern_Utah_Thunderbirds_logo.svg.png",NA,"WAC"
"277","St. Bonaventure","St Bonaventure","#54261A","#FDB726","#BDB6B0",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/St._Bonaventure_Bonnies_logo.svg/320px-St._Bonaventure_Bonnies_logo.svg.png",NA,"A-10"
"278","St. Francis Brooklyn","St Francis (BKN)","#0038A8","#CE1126",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/e/e2/St._Francis_Brooklyn_Terriers_logo.svg",NA,"NEC"
"279","St. John's (NY)","St John's","#BA0C2F","#041C2C","#A7A8AA",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png",NA,"Big East"
"280","St. Thomas (MN)","St. Thomas - Minnesota","purple","white",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/08/St_thomas_tommies.jpg",NA,"Summit"
"281","Stanford","Stanford","#8C1515","#FFFFFF","#4D4F53","#2E2D29","#007662",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png",NA,"Pac 12"
"282","Stetson","Stetson","#006747","#B58150","#9E652E","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/1/17/Stetson_Hatters_logo_%282018%29.png",NA,"A-Sun"
"283","Stony Brook","Stony Brook","#990000","#16243E","#828282",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Stony_Brook_Seawolves_logo.svg/320px-Stony_Brook_Seawolves_logo.svg.png",NA,"CAA"
"284","Syracuse","Syracuse","#D44500","#3E3D3C","#6F777D","#ADB3B8","#3E3D3C","#0D1D37","https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png",NA,"ACC"
"285","Tarleton St.","Tarleton","#4F2D7F","white",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/5/56/Tarleton_State_athletics_logo.svg",NA,"WAC"
"286","TCU","TCU","#4D1979","#A3A9AC","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/320px-TCU_Horned_Frogs_logo.svg.png",NA,"Big 12"
"287","Temple","Temple","#9D2235","#FFCD00","#8A8D8F","#C1C6C8","#000000",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Temple_T_logo.svg/212px-Temple_T_logo.svg.png",NA,"AAC"
"288","Tennessee","Tennessee","#FF8200","#58595B","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/240px-Tennessee_Volunteers_logo.svg.png",NA,"SEC"
"289","Tennessee St.","Tennessee St","#00539F","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Tennessee_State_Tigers_wordmark.svg/200px-Tennessee_State_Tigers_wordmark.svg.png",NA,"OVC"
"290","Tennessee Tech","Tenn Tech","#4F2984","#FFDD00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Tennessee_Tech_Golden_Eagles_logo.svg/315px-Tennessee_Tech_Golden_Eagles_logo.svg.png",NA,"OVC"
"291","Texas","Texas","#BF5700","#333F48","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/320px-Texas_Longhorns_logo.svg.png",NA,"Big 12"
"292","Texas A&M","Texas A&M","#500000","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/292px-Texas_A%26M_University_logo.svg.png",NA,"SEC"
"293","Texas Southern","Texas Southern","#6F263D","#A2AAAD",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Texas_Southern_Tigers_logo.svg/254px-Texas_Southern_Tigers_logo.svg.png",NA,"SWAC"
"294","Texas St.","Texas State","#501214","#8D734A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Texas_State_Bobcats_logo.svg/206px-Texas_State_Bobcats_logo.svg.png",NA,"Sunbelt"
"295","Texas Tech","Texas Tech","#CC0000","#000000","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/207px-Texas_Tech_Athletics_logo.svg.png",NA,"Big 12"
"296","The Citadel","The Citadel","#3975B7","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/0/0d/Correct_secondary_logo.png",NA,"Southern"
"297","Toledo","Toledo","#15397F","#005CB9","#FFDA00","#BEC6C3","#A0ACAA","#000000","https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Toledo_Rockets_logo.svg/320px-Toledo_Rockets_logo.svg.png",NA,"MAC"
"298","Towson","Towson","#000000","#FFCC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Towson_Tigers_logo.svg/320px-Towson_Tigers_logo.svg.png",NA,"CAA"
