"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"98","George Mason","George Mason","#006633","#FFCC33","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/George_Mason_Patriots_logo.svg/287px-George_Mason_Patriots_logo.svg.png",NA,"A-10"
"99","George Washington","G Washington","#E2CB92","#002654",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/George_Washington_Colonials_logo.svg/320px-George_Washington_Colonials_logo.svg.png",NA,"A-10"
"100","Georgetown","Georgetown","#041E42","#8D817B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Georgetown_Hoyas_logo.svg/239px-Georgetown_Hoyas_logo.svg.png",NA,"Big East"
"101","Georgia","Georgia","#BA0C2F","#000000","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/320px-Georgia_Athletics_logo.svg.png",NA,"SEC"
"102","Georgia St.","Georgia State","#0039A6","#C60C30","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Georgia_State_Athletics_logo.svg/292px-Georgia_State_Athletics_logo.svg.png",NA,"Sunbelt"
"103","Georgia Tech","Georgia Tech","#B3A369","#003057","#A28D5B",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Georgia_Tech_Yellow_Jackets_logo.svg/320px-Georgia_Tech_Yellow_Jackets_logo.svg.png",NA,"ACC"
"104","Gonzaga","Gonzaga","#041E42","#C8102E","#C1C6C8",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Gonzaga_Bulldogs_logo.svg/301px-Gonzaga_Bulldogs_logo.svg.png",NA,"WCC"
"105","Grambling","Grambling","#000000","#ECAA00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Grambling_State_Tigers_logo.svg/320px-Grambling_State_Tigers_logo.svg.png",NA,"SWAC"
"106","Grand Canyon","Grand Canyon","#522398","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Grand_Canyon_Antelopes_logo.svg/320px-Grand_Canyon_Antelopes_logo.svg.png",NA,"WAC"
"107","Green Bay","Green Bay","#006747","#9D2235","#8A8D8F",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Green_Bay_Phoenix_logo.svg/308px-Green_Bay_Phoenix_logo.svg.png",NA,"Horizon"
"108","Hampton","Hampton","#265198","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Hampton_Pirates_logo.svg/218px-Hampton_Pirates_logo.svg.png",NA,"CAA"
"109","Hartford","Hartford","#C02427","#0F0708",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Hartford_Hawks_logo.svg/259px-Hartford_Hawks_logo.svg.png",NA,"Independent"
"110","Harvard","Harvard","#A41034","#000000","#808285","#B6B6B6",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Harvard_Crimson_logo.svg/203px-Harvard_Crimson_logo.svg.png",NA,"Ivy"
"111","Hawaii","Hawai'i","#024731","#C8C8C8","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Hawaii_Warriors_logo.svg/318px-Hawaii_Warriors_logo.svg.png",NA,"Big West"
"112","High Point","High Point","#330072","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/High_Point_Panthers_logo.svg/320px-High_Point_Panthers_logo.svg.png",NA,"Big South"
"113","Hofstra","Hofstra","#FDC82F","#003591",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Hofstra_Pride_logo.svg/320px-Hofstra_Pride_logo.svg.png",NA,"CAA"
"114","Holy Cross","Holy Cross","#602D89","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Holy_Cross_Crusaders_logo.svg/204px-Holy_Cross_Crusaders_logo.svg.png",NA,"Patriot"
"115","Houston","Houston","#C8102E","#76232F","#B2B4B2",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Houston_Cougars_primary_logo.svg/252px-Houston_Cougars_primary_logo.svg.png",NA,"AAC"
"116","Houston Christian","Houston Baptist","#00529C","#F85512",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Houston_Baptist_Huskies_logo.svg/227px-Houston_Baptist_Huskies_logo.svg.png",NA,"Southland"
"117","Howard","Howard","#003A63","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Howard_Bison_logo.svg/186px-Howard_Bison_logo.svg.png",NA,"MEAC"
"118","Idaho","Idaho","#EAAB00","#86754D","#808080","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Idaho_Vandals_logo.svg/216px-Idaho_Vandals_logo.svg.png",NA,"Big Sky"
